entry_date,exit_date,position,entry_price,exit_price,position_size,pnl,balance,return_pct,close_reason
4838,4841,short,2005.21,1982.84,1.1783503994515855e+44,2.635969843573211e+45,3.817389845815368e+45,5.271939687146421e+44,signal_change
4841,4842,long,1982.84,1989.05,3.8504265052302436e+44,2.3911148597479953e+45,6.208504705563363e+45,4.7822297194959906e+44,signal_change
4842,4843,short,1989.05,1997.06,6.24268339716283e+44,-5.000389401127421e+45,1.208115304435942e+45,-1.0000778802254842e+45,signal_change
4843,4844,long,1997.06,1989.29,1.2098938483930799e+44,-9.400875202014209e+44,2.6802778423452113e+44,-1.8801750404028417e+44,signal_change
4844,4845,short,1989.29,1987.74,2.6947080037050516e+43,4.1767974057427076e+43,3.097957582919482e+44,8.353594811485415e+42,signal_change
4845,4846,long,1987.74,1989.55,3.117065192549812e+43,5.64188799851499e+43,3.662146382770981e+44,1.128377599702998e+43,signal_change
4846,4848,short,1989.55,2016.53,3.681381601639548e+43,-9.932367561223507e+44,-6.2702211784525256e+44,-1.9864735122447014e+44,signal_change
4848,4849,long,2016.53,2038.52,-6.218822609584311e+43,-1.3675190918475905e+45,-1.994541209692843e+45,-2.735038183695181e+44,signal_change
4849,4855,short,2038.52,2014.95,-1.9568522356345224e+44,-4.6123007193905567e+45,-6.606841929083399e+45,-9.224601438781114e+44,signal_change
4855,4857,long,2014.95,2016.32,-6.557822208078015e+44,-8.984216425066165e+44,-7.505263571590016e+45,-1.7968432850132328e+44,signal_change
4857,4858,short,2016.32,1988.81,-7.444516318431614e+44,-2.0479864392005364e+46,-2.798512796359538e+46,-4.0959728784010727e+45,signal_change
4858,4859,long,1988.81,1981.41,-2.8142585730758978e+45,2.082551344076126e+46,-7.159614522834122e+45,4.165102688152252e+45,signal_change
4859,4860,short,1981.41,1957.39,-7.226787512765276e+44,-1.735874360566218e+46,-2.45183581284963e+46,-3.471748721132436e+45,signal_change
4860,4861,long,1957.39,1977.5,-2.5052092969205216e+45,-5.037975896107144e+46,-7.489811708956774e+46,-1.007595179221429e+46,signal_change
4861,4866,short,1977.5,1946.72,-7.575030805518861e+45,-2.3315944819387034e+47,-3.080575652834381e+47,-4.663188963877407e+46,signal_change
4866,4867,long,1946.72,1943.15,-3.1648882765208976e+46,1.1298651147179404e+47,-1.9507105381164406e+47,2.259730229435881e+46,signal_change
4867,4869,short,1943.15,1962.6,-2.0077817339026227e+46,3.905135472440564e+47,1.9544249343241237e+47,7.81027094488113e+46,signal_change
4869,4870,long,1962.6,1977.4,1.991669147380132e+46,2.947670338122632e+47,4.902095272446756e+47,5.895340676245263e+46,signal_change
4870,4876,short,1977.4,1960.46,4.958122051630177e+46,8.399058755461547e+47,1.3301154027908303e+48,1.6798117510923096e+47,signal_change
4876,4877,long,1960.46,1957.34,1.3569421490781044e+47,-4.233659505123846e+47,9.067494522784458e+47,-8.467319010247692e+46,signal_change
4877,4878,short,1957.34,1943.44,9.265119522192832e+46,1.287851613584791e+48,2.194601065863237e+48,2.575703227169582e+47,signal_change
4878,4882,long,1943.44,1950.48,2.2584706148512297e+47,1.5899633128552574e+48,3.7845643787184944e+48,3.179926625710515e+47,signal_change
4882,4885,short,1950.48,1913.64,3.880649254253819e+47,1.429631185267104e+49,1.8080876231389534e+49,2.859262370534208e+48,signal_change
4885,4887,long,1913.64,1923.14,1.88968418630354e+48,1.795199976988363e+49,3.6032876001273164e+49,3.590399953976726e+48,signal_change
4887,4894,short,1923.14,1915.21,3.747296192817284e+48,2.97160588090413e+49,6.574893481031446e+49,5.94321176180826e+48,signal_change
4894,4897,long,1915.21,1925.28,6.865976557172787e+48,6.914038393072952e+49,1.3488931874104398e+50,1.3828076786145902e+49,signal_change
4897,4903,short,1925.28,1978.73,1.40124365018121e+49,-7.489647310218573e+50,-6.140754122808134e+50,-1.4979294620437147e+50,stop_loss
4904,4905,short,1976.97,1969.5,-6.212288626340443e+49,-4.6405796038763285e+50,-1.0781333726684463e+51,-9.281159207752657e+49,signal_change
4905,4906,long,1969.5,1961.84,-1.094829522892558e+50,8.386394145357083e+50,-2.3949395813273798e+50,1.6772788290714169e+50,signal_change
4906,4910,short,1961.84,1945.52,-2.4415238565095826e+49,-3.984566933823623e+50,-6.3795065151510026e+50,-7.969133867647245e+49,signal_change
4910,4911,long,1945.52,1959.15,-6.558150535744688e+49,-8.93875918022008e+50,-1.5318265695371082e+51,-1.7877518360440161e+50,signal_change
4911,4913,short,1959.15,1944.19,-1.5637665003058553e+50,-2.3393946844575653e+51,-3.871221253994674e+51,-4.67878936891513e+50,signal_change
4913,4916,long,1944.19,1942.65,-3.982348694309377e+50,6.132816989236296e+50,-3.257939555071044e+51,1.2265633978472591e+50,signal_change
4916,4917,short,1942.65,1936.52,-3.3541189149574488e+50,-2.0560748948689526e+51,-5.314014449939997e+51,-4.112149789737905e+50,signal_change
4917,4919,long,1936.52,1914.7,-5.488210243054548e+50,1.1975274750344988e+52,6.661260300404991e+51,2.3950549500689972e+51,signal_change
4919,4920,short,1914.7,1912.33,6.958019846874175e+50,1.6490507037092618e+51,8.310311004114252e+51,3.2981014074185237e+50,signal_change
4920,4921,long,1912.33,1913.62,8.691293870947225e+50,1.1211769093521604e+51,9.431487913466413e+51,2.2423538187043207e+50,signal_change
